method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed
fixo_igual,pico_assimetrico,0,10000,251.10333006856024,513.0,718.0,206.0,1821,363.91927512355846,220.2410993129294,363.1451247165533,2042,
fixo_igual,pico_assimetrico,1,10001,251.30320699708454,497.0,809.0,207.0,1840,365.0733695652174,219.82452944748027,377.4476885644769,2058,
fixo_igual,pico_assimetrico,2,10002,252.56082071323888,522.3999999999996,818.0,215.0,1840,368.15815217391304,216.97694174757282,399.5338345864662,2047,
fixo_igual,pico_assimetrico,3,10003,238.26884301488238,433.0,692.0,203.0,1868,350.4759100642398,213.63730886850152,328.16294642857144,2083,
fixo_igual,pico_assimetrico,4,10004,237.9588122605364,430.0,701.0,199.0,1867,351.523835029459,216.17324290998766,313.7875536480687,2088,
fixo_igual,pico_assimetrico,5,10005,255.55812807881773,527.6499999999999,1012.0,214.0,1807,374.8666297731046,217.76701410177805,410.0375939849624,2030,
fixo_igual,pico_assimetrico,6,10006,251.80275454992622,529.3999999999999,805.0,214.0,1818,372.13366336633663,218.21948212083848,384.338199513382,2033,
fixo_igual,pico_assimetrico,7,10007,247.5519765739385,526.0,911.0,206.0,1837,361.0713119216113,218.13410900183712,363.03125,2049,
fixo_igual,pico_assimetrico,8,10008,258.6605691056911,518.0,825.0,202.0,1748,377.8609839816934,224.39027511196417,390.9185185185185,1968,
fixo_igual,pico_assimetrico,9,10009,243.31853281853282,530.4499999999998,806.0,203.0,1855,357.7148247978437,209.6773220747889,378.04589371980677,2072,
fixo_igual,pico_assimetrico,10,10010,254.9634268537074,539.0,777.0,206.0,1777,368.0112549240293,224.93387398627573,377.4503816793893,1996,
fixo_igual,pico_assimetrico,11,10011,243.9080684596577,531.0,732.0,204.0,1837,355.9678824169842,215.17361963190183,356.76867469879517,2045,
fixo_igual,pico_assimetrico,12,10012,232.1884259259259,435.0,628.0,206.0,1947,341.5269645608629,215.2125,291.6041666666667,2160,
fixo_igual,pico_assimetrico,13,10013,246.26251823043268,487.59999999999945,824.0,207.0,1839,361.8520935290919,211.31668696711327,384.5301204819277,2057,
fixo_igual,pico_assimetrico,14,10014,246.11555127587866,478.0,1011.0,207.0,1852,360.170626349892,214.5516403402187,366.65893271461715,2077,
fixo_igual,pico_assimetrico,15,10015,241.66522574447646,497.0,618.0,202.0,1860,354.3360215053763,211.99393203883494,354.3341013824885,2082,
fixo_igual,pico_assimetrico,16,10016,243.35536398467434,449.2999999999997,836.0,204.0,1862,357.6074113856069,216.76978851963747,344.9699769053118,2088,
fixo_igual,pico_assimetrico,17,10017,243.17156398104265,429.0,620.0,207.0,1881,358.829346092504,220.40613496932517,320.4791666666667,2110,
fixo_igual,pico_assimetrico,18,10018,244.76282671829622,488.0,711.0,205.0,1849,355.8750676041103,214.36007237635707,368.3112745098039,2066,
fixo_igual,pico_assimetrico,19,10019,235.40374459913585,435.0,614.0,199.0,1881,345.37373737373736,213.39408866995075,313.27668845315907,2083,
fixo_proporcional,pico_assimetrico,0,10000,96.71889908256881,607.0,836.0,117.0,2588,150.5823029366306,37.4805249788315,482.1763085399449,2725,
fixo_proporcional,pico_assimetrico,1,10001,121.34612599565533,620.9499999999998,934.0,138.0,2608,177.63228527607362,69.25592023265476,474.5323943661972,2762,
fixo_proporcional,pico_assimetrico,2,10002,115.47704447632712,594.6500000000001,967.0,133.0,2629,170.22708254089008,60.88861689106487,512.4985163204748,2788,
fixo_proporcional,pico_assimetrico,3,10003,109.29540636042402,515.0,739.0,134.0,2676,165.56203288490283,57.420254202542026,432.8849104859335,2830,
fixo_proporcional,pico_assimetrico,4,10004,106.44407894736842,614.0,946.0,125.0,2590,161.05752895752894,52.34212730318258,477.6954022988506,2736,
fixo_proporcional,pico_assimetrico,5,10005,108.94272163443999,609.0,1172.0,122.0,2605,161.79731285988484,51.69445602334306,510.5175438596491,2741,
fixo_proporcional,pico_assimetrico,6,10006,122.92298980747452,628.0,950.0,136.0,2495,175.75070140280562,65.89142610943559,526.4908536585366,2649,
fixo_proporcional,pico_assimetrico,7,10007,102.88060781476122,597.8499999999999,1044.0,118.0,2625,154.65561904761904,47.1023198011599,487.5914285714286,2764,
fixo_proporcional,pico_assimetrico,8,10008,95.7486930545183,612.1500000000001,1061.0,102.0,2544,150.52712264150944,37.038083012409075,498.1143695014663,2678,
fixo_proporcional,pico_assimetrico,9,10009,109.3317236255572,618.0,895.0,119.0,2552,161.98942006269593,51.7336747759283,496.0143266475645,2692,
fixo_proporcional,pico_assimetrico,10,10010,98.83138686131387,612.1499999999992,960.0,105.0,2617,156.44019870080245,43.9317519766958,490.2967359050445,2740,
fixo_proporcional,pico_assimetrico,11,10011,114.34334921216563,633.5999999999999,964.0,133.0,2576,169.47787267080744,61.326770004189356,484.37426900584796,2729,
fixo_proporcional,pico_assimetrico,12,10012,115.35899280575539,565.0,774.0,135.0,2617,168.6637371035537,64.48696383515559,416.28855721393035,2780,
fixo_proporcional,pico_assimetrico,13,10013,125.01288366805608,613.0999999999999,963.0,137.0,2486,182.3073209975865,66.60156589821662,519.9764705882353,2639,
fixo_proporcional,pico_assimetrico,14,10014,115.82061628760088,616.75,1175.0,130.0,2586,171.26836813611754,58.981917577796466,504.2183908045977,2726,
fixo_proporcional,pico_assimetrico,15,10015,111.8890479599141,605.3499999999999,814.0,142.0,2626,163.72201066260473,59.23497942386831,463.39835164835165,2794,
fixo_proporcional,pico_assimetrico,16,10016,108.16654247391952,625.0,1088.0,130.0,2528,158.16257911392404,52.50828729281768,503.82779456193356,2684,
fixo_proporcional,pico_assimetrico,17,10017,99.98342342342342,562.5999999999995,839.0,130.0,2623,152.19367136866182,43.00456810631229,473.8392370572207,2775,
fixo_proporcional,pico_assimetrico,18,10018,113.66583718450053,618.4000000000001,902.0,146.0,2644,165.41111951588502,62.49493311714633,478.51734104046244,2813,
fixo_proporcional,pico_assimetrico,19,10019,109.3983174835406,591.0499999999997,963.0,121.0,2591,164.18255499807023,56.41033179336413,466.8045325779037,2734,
atuado_gap,pico_assimetrico,0,10000,261.6019736842105,813.6499999999999,1211.0,233.0,1913,342.5342394145321,200.14293537787515,633.205298013245,2128,
atuado_gap,pico_assimetrico,1,10001,263.61991584852734,888.5999999999985,1592.0,240.0,1919,338.09796769150597,198.86175847457628,750.7250996015936,2139,
atuado_gap,pico_assimetrico,2,10002,273.36889521100045,935.1999999999971,2042.0,232.0,1885,346.310875331565,200.30928381962866,888.1785714285714,2109,
atuado_gap,pico_assimetrico,3,10003,265.5348282442748,919.5,1332.0,230.0,1872,344.27831196581195,199.6595744680851,724.6577946768061,2096,
atuado_gap,pico_assimetrico,4,10004,265.59138257575756,887.4499999999998,1817.0,232.0,1892,356.3551797040169,201.00379815518176,708.1003717472119,2112,
atuado_gap,pico_assimetrico,5,10005,272.2379359770664,880.3999999999999,1592.0,237.0,1860,337.5451612903226,203.58519324986392,764.875,2093,
atuado_gap,pico_assimetrico,6,10006,270.456884230586,899.4999999999995,1404.0,234.0,1876,342.5986140724947,201.28694714131606,793.8897959183673,2099,
atuado_gap,pico_assimetrico,7,10007,256.84906542056075,637.05,2126.0,228.0,1919,330.6383533090151,201.21571815718158,604.793220338983,2140,
atuado_gap,pico_assimetrico,8,10008,270.09064469219584,831.4999999999993,1567.0,227.0,1834,342.0594329334787,203.00443704936217,735.3076923076923,2063,
atuado_gap,pico_assimetrico,9,10009,261.67397388059703,858.5999999999985,1419.0,240.0,1918,336.6266944734098,194.9684323167469,715.0290909090909,2144,
atuado_gap,pico_assimetrico,10,10010,270.3949013949014,799.2999999999997,1893.0,239.0,1859,341.343733189887,204.507096069869,759.085020242915,2079,
atuado_gap,pico_assimetrico,11,10011,270.63264323543575,806.9999999999909,1799.0,235.0,1855,345.6350404312669,202.23333333333332,777.3967611336033,2077,
atuado_gap,pico_assimetrico,12,10012,252.12968681076313,632.0,1112.0,253.0,2055,342.2199513381995,202.6278947368421,508.4059945504087,2267,
atuado_gap,pico_assimetrico,13,10013,273.8527724665392,926.0,1614.0,236.0,1869,350.31567683253076,201.0561555075594,835.6,2092,
atuado_gap,pico_assimetrico,14,10014,261.8251162790698,682.9499999999996,1651.0,236.0,1922,333.35015608740895,200.9903381642512,656.7212543554007,2150,
