method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed
fixo_igual,grid,0,10000,175.18820786142572,345.0,755.0,266.0,2719,300.742184626701,147.83359415753782,223.51889400921658,3002,
fixo_igual,grid,1,10001,168.62817473755504,304.4000000000001,553.0,250.0,2699,292.92626898851427,149.01690573770492,206.87112887112886,2953,
fixo_igual,grid,2,10002,171.67651998656365,315.0,656.0,253.0,2750,293.82836363636363,150.76079228034536,212.5327380952381,2977,
fixo_igual,grid,3,10003,170.20167256352525,314.0,702.0,270.0,2865,291.9305410122164,147.1494140625,214.69839773798304,3109,
fixo_igual,grid,4,10004,163.68865435356201,307.89999999999964,594.0,249.0,2782,283.84184040258805,142.9936305732484,206.31079717457115,3032,
fixo_igual,grid,5,10005,169.5187040748163,323.3499999999999,673.0,240.0,2760,290.7909420289855,147.29142857142858,209.5444340505145,2994,
fixo_igual,grid,6,10006,165.57061197041023,309.0,641.0,256.0,2737,288.2382170259408,144.78668002003005,208.0532241555783,2974,
fixo_igual,grid,7,10007,171.27847267939433,326.1500000000001,627.0,260.0,2783,296.25404240028746,150.56935403104657,211.0057636887608,3038,
fixo_igual,grid,8,10008,167.80693069306932,320.5499999999997,772.0,256.0,2806,292.36920883820386,147.321,207.58543689320388,3030,
fixo_igual,grid,9,10009,165.6804910418049,321.3499999999999,740.0,246.0,2785,288.5382405745063,141.87600401606426,212.07827788649706,3014,
fixo_igual,grid,10,10010,180.71588661832564,371.0,812.0,274.0,2784,308.6138649425287,153.27295660948536,232.41920152091254,3034,
fixo_igual,grid,11,10011,180.20844155844156,364.0,982.0,268.0,2833,307.02259089304624,159.114931237721,221.3448275862069,3080,
fixo_igual,grid,12,10012,161.40521564694083,289.0,780.0,239.0,2755,281.87368421052633,140.11827956989248,201.45664739884393,2991,
fixo_igual,grid,13,10013,164.94335805799057,304.0,582.0,244.0,2740,285.5054744525547,144.54861821903788,204.32213438735178,2966,
fixo_igual,grid,14,10014,171.43962641761175,327.1500000000001,674.0,253.0,2758,295.28861493836115,151.08572869389815,211.2049261083744,2998,
fixo_igual,grid,15,10015,184.96064283371598,397.1999999999998,910.0,265.0,2768,312.9801300578035,158.396865520728,234.02054154995332,3049,
fixo_igual,grid,16,10016,166.94212328767122,308.0,716.0,262.0,2668,290.29422788605694,144.4016649323621,210.35170340681364,2920,
fixo_igual,grid,17,10017,188.78752436647173,385.2999999999993,769.0,292.0,2792,316.371776504298,161.56200787401573,241.67686424474186,3078,
fixo_igual,grid,18,10018,165.1982131039047,303.9499999999998,554.0,253.0,2788,288.1004304160689,146.35273098519653,199.92850423330196,3022,
fixo_igual,grid,19,10019,174.16229508196722,330.0,1006.0,259.0,2825,297.81557522123893,150.33584715937658,218.82846371347784,3050,
fixo_proporcional,grid,0,10000,105.38807461692205,330.9499999999998,912.0,156.0,2794,216.08768790264853,56.34585289514867,192.036866359447,3002,
fixo_proporcional,grid,1,10001,97.16627158821538,292.0,615.0,149.0,2750,206.616,58.58709016393443,172.39760239760238,2953,
fixo_proporcional,grid,2,10002,103.85522337924084,318.0,607.0,158.0,2794,213.9051539012169,61.1615033011681,187.25198412698413,2977,
fixo_proporcional,grid,3,10003,98.31778706979736,294.5999999999999,669.0,145.0,2929,206.61625128030045,55.4033203125,181.1536286522149,3109,
fixo_proporcional,grid,4,10004,92.14610817941953,286.4499999999998,749.0,136.0,2843,199.5494196271544,54.571288584027435,169.53279515640767,3032,
fixo_proporcional,grid,5,10005,100.61957247828991,306.3499999999999,898.0,140.0,2800,209.78214285714284,59.63792207792208,174.41721234798877,2994,
fixo_proporcional,grid,6,10006,93.74815063887021,288.0499999999997,941.0,146.0,2792,201.8384670487106,57.383575363044564,168.0777891504606,2974,
fixo_proporcional,grid,7,10007,101.261685319289,320.0,770.0,171.0,2845,213.73848857644992,61.31046569854782,177.90201729106627,3038,
fixo_proporcional,grid,8,10008,102.0980198019802,304.0,669.0,148.0,2867,215.0728985001744,63.201,177.626213592233,3030,
fixo_proporcional,grid,9,10009,96.35998672859986,284.6999999999998,726.0,142.0,2841,206.63639563533968,56.77359437751004,173.51859099804307,3014,
fixo_proporcional,grid,10,10010,98.72478576137112,286.3499999999999,570.0,146.0,2848,208.5108848314607,58.0438950554995,175.36882129277566,3034,
fixo_proporcional,grid,11,10011,107.82402597402597,350.0,735.0,156.0,2890,220.62387543252595,63.07711198428291,195.08908045977012,3080,
fixo_proporcional,grid,12,10012,92.96723503844868,275.5,861.0,139.0,2828,202.6011315417256,55.33538146441372,163.77167630057804,2991,
fixo_proporcional,grid,13,10013,92.83951449763993,274.75,573.0,130.0,2804,200.9493580599144,57.85516888433982,160.38833992094862,2966,
fixo_proporcional,grid,14,10014,92.81187458305537,268.0,499.0,135.0,2836,203.91713681241185,58.0796772566818,160.6679802955665,2998,
fixo_proporcional,grid,15,10015,104.83896359462119,303.0,849.0,172.0,2844,217.16596343178622,63.79524772497472,180.64145658263305,3049,
fixo_proporcional,grid,16,10016,101.33356164383562,295.0,710.0,150.0,2712,213.09181415929203,60.71852237252862,179.55210420841684,2920,
fixo_proporcional,grid,17,10017,108.13320337881741,336.14999999999964,954.0,165.0,2889,220.4423676012461,60.055610236220474,201.53059273422562,3078,
fixo_proporcional,grid,18,10018,91.64493712772997,272.0,619.0,137.0,2853,201.83070452155624,56.103113833588566,157.14487300094072,3022,
fixo_proporcional,grid,19,10019,102.04459016393443,298.0,1119.0,142.0,2864,212.31738826815644,59.51684263448969,181.76908576814327,3050,
atuado_gap,grid,0,10000,265.4390406395736,830.8999999999996,1841.0,396.0,2554,377.20555990602975,146.29525299947835,475.9447004608295,3002,
atuado_gap,grid,1,10001,264.0023704707078,789.4000000000001,1788.0,363.0,2539,385.16423788893263,171.71823770491804,443.961038961039,2953,
atuado_gap,grid,2,10002,265.1199193819281,800.3999999999996,1543.0,389.0,2604,381.4404761904762,164.1066531234129,462.43650793650795,2977,
atuado_gap,grid,3,10003,276.88452878739145,843.1999999999998,1881.0,411.0,2657,384.467068121942,165.61376953125,491.6654099905749,3109,
atuado_gap,grid,4,10004,212.14167767503304,643.6500000000001,1224.0,321.0,2654,322.99510173323284,132.0048995590397,377.85511651469096,3028,
atuado_gap,grid,5,10005,268.2571810287241,790.0,1594.0,375.0,2586,385.3035576179428,171.34545454545454,442.77081384471467,2994,
atuado_gap,grid,6,10006,221.72797579018157,726.6999999999998,1558.0,291.0,2622,336.4626239511823,134.58437656484728,399.8505629477994,2974,
atuado_gap,grid,7,10007,288.8232389730086,850.1500000000001,1564.0,371.0,2613,416.6104094910065,198.8177265898848,461.4851104707013,3038,
atuado_gap,grid,8,10008,293.06402640264025,961.6499999999992,1764.0,427.0,2524,391.6933438985737,183.8865,505.05922330097087,3030,
atuado_gap,grid,9,10009,233.62342402123423,718.6999999999998,1323.0,350.0,2630,347.31178707224336,147.20632530120483,402.06066536203525,3014,
atuado_gap,grid,10,10010,298.16348055372447,910.6999999999998,2093.0,438.0,2549,407.49391918399374,204.8930373360242,473.88783269961976,3034,
atuado_gap,grid,11,10011,334.9597776324395,1144.15,2353.0,586.0,2422,395.3104872006606,217.58742632612967,568.7857142857143,3058,
atuado_gap,grid,12,10012,225.63089267803412,632.5,1581.0,337.0,2658,347.7336343115124,153.30773169482848,361.7071290944123,2991,
atuado_gap,grid,13,10013,259.7896156439649,782.75,2234.0,347.0,2595,368.0712909441233,169.5491299897646,434.0286561264822,2966,
atuado_gap,grid,14,10014,256.1844563042028,748.4500000000003,1339.0,355.0,2673,383.63486719042277,171.5753908219869,421.4847290640394,2998,
atuado_gap,grid,15,10015,355.9064866644715,1178.1999999999998,2915.0,544.0,2440,440.0811475409836,213.53892821031346,621.8205854579792,3037,
atuado_gap,grid,16,10016,258.2,857.0499999999997,2044.0,333.0,2507,368.30235341045073,160.31061394380853,446.7204408817635,2920,
atuado_gap,grid,17,10017,329.7512195121951,997.5999999999995,2210.0,546.0,2464,431.64163961038963,214.1259842519685,555.0153403643336,3075,
atuado_gap,grid,18,10018,229.45665122435474,648.7499999999991,1159.0,361.0,2629,344.2080639026246,149.93568147013784,376.00564440263406,3022,
atuado_gap,grid,19,10019,290.07377049180326,850.0,1756.0,396.0,2633,402.2324344853779,171.75012569130217,511.88878416588125,3050,
max_pressure,grid,0,10000,543.9500175994368,2051.0,3505.0,773.0,1910,494.5680628272251,355.88114104595877,919.4926160337553,2841,
max_pressure,grid,1,10001,479.10692254969155,1628.6000000000004,3575.0,821.0,2062,503.3462657613967,337.5,755.7277327935223,2918,
max_pressure,grid,2,10002,469.4646464646465,1530.199999999999,3553.0,817.0,2072,474.7842664092664,346.33129459734965,709.1349206349206,2970,
max_pressure,grid,3,10003,491.16633199464525,1948.0,3338.0,853.0,2069,454.11503141614304,287.17506234413963,907.2421159715158,2988,
max_pressure,grid,4,10004,374.040293040293,1465.9,3524.0,667.0,2269,390.79286029087706,254.74865262126409,627.1320166320166,3003,
max_pressure,grid,5,10005,507.0521534320323,1611.949999999998,3493.0,793.0,2104,539.3849809885932,382.4322077922078,736.1766953199618,2972,
max_pressure,grid,6,10006,450.2731811697575,2014.2499999999995,3472.0,669.0,2047,398.11675622862725,282.30091185410333,849.7638554216868,2804,
max_pressure,grid,7,10007,512.9847277556441,1685.7999999999993,3442.0,866.0,2054,518.2448880233691,372.1742613920881,790.0275862068966,3012,
max_pressure,grid,8,10008,523.5960334029228,1952.0499999999997,3209.0,812.0,2005,461.26683291770576,347.65215215215215,924.8926940639269,2874,
max_pressure,grid,9,10009,433.70283018867923,1595.2500000000005,3150.0,806.0,2087,429.83037853378056,298.4838872104733,707.1700610997964,2968,
max_pressure,grid,10,10010,515.2206370272064,1776.35,3477.0,905.0,1999,485.40670335167584,402.08646998982704,727.4551526717557,3014,
max_pressure,grid,11,10011,480.6236381644107,1732.3999999999996,3334.0,933.0,2047,461.0923302393747,331.1301571709234,787.1379657603222,3029,
max_pressure,grid,12,10012,384.57195945945944,1279.0499999999997,3438.0,568.0,2340,456.6431623931624,266.76344086021504,613.0526315789474,2960,
max_pressure,grid,13,10013,499.14058171745154,1835.6000000000004,3424.0,768.0,2052,509.92397660818716,347.25038402457756,816.4042780748663,2888,
max_pressure,grid,14,10014,619.1898864809082,2136.3999999999996,3441.0,973.0,1879,606.8243746673762,426.7671303451829,1005.8281573498965,2907,
max_pressure,grid,15,10015,698.3714481342006,2412.0,3543.0,1084.0,1760,587.00625,494.6835187057634,1125.6193001060446,2921,
max_pressure,grid,16,10016,460.4451724137931,1589.349999999998,3325.0,753.0,2077,493.2089552238806,327.3517169614984,722.0051124744376,2900,
max_pressure,grid,17,10017,538.7121513944223,1846.699999999999,3425.0,852.0,2068,528.9850096711799,393.807,825.0859683794466,3012,
max_pressure,grid,18,10018,405.9963382157124,1435.5499999999997,3172.0,694.0,2233,434.42095835199285,274.95048494129657,651.6602870813397,3004,
max_pressure,grid,19,10019,464.37834268735554,1507.9999999999995,3318.0,814.0,2167,490.23857868020303,315.85678265254666,745.944550669216,3029,
dqn,grid,0,10000,47.190872751499,155.0,989.0,92.0,2852,158.24579242636747,43.87376108502869,53.05161290322581,3002,7
dqn,grid,1,10001,45.901456146291906,160.0,786.0,78.0,2817,156.41711040113597,43.033811475409834,51.493506493506494,2953,7
dqn,grid,2,10002,52.10043668122271,189.19999999999982,809.0,77.0,2854,163.43587946741417,50.04164550533265,56.12202380952381,2977,7
dqn,grid,3,10003,51.32003859761981,187.5999999999999,953.0,84.0,2987,162.17810512219617,50.79931640625,52.32516493873704,3109,7
dqn,grid,4,10004,48.306398416886545,169.44999999999982,1131.0,82.0,2878,155.00173731758164,50.25967662910338,44.283551967709386,3032,7
dqn,grid,5,10005,47.99064796259185,175.3499999999999,689.0,77.0,2877,159.19151894334377,47.077402597402596,49.63517305893358,2994,7
dqn,grid,6,10006,45.66240753194351,175.69999999999982,777.0,86.0,2836,155.23166431593793,44.85277916875313,47.317297850562944,2974,7
dqn,grid,7,10007,47.05892034233048,174.1500000000001,663.0,73.0,2893,158.4106463878327,47.16474712068102,46.85590778097983,3038,7
dqn,grid,8,10008,54.11287128712871,197.54999999999973,923.0,89.0,2887,165.40318669899548,54.0615,54.2126213592233,3030,7
dqn,grid,9,10009,49.280026542800265,172.0,687.0,78.0,2886,160.69611919611918,44.81777108433735,57.977495107632095,3014,7
dqn,grid,10,10010,50.39288068556361,173.0,841.0,78.0,2886,161.32536382536384,50.329465186680125,50.51235741444867,3034,7
dqn,grid,11,10011,54.74090909090909,209.09999999999945,1010.0,94.0,2942,165.9167233174711,54.24066797642436,55.71647509578544,3080,7
dqn,grid,12,10012,46.5954530257439,161.0,874.0,72.0,2867,156.692361353331,47.29697900665643,45.27552986512524,2991,7
dqn,grid,13,10013,46.98246797033041,185.0,886.0,74.0,2840,155.64542253521128,48.143807574206754,44.7401185770751,2966,7
dqn,grid,14,10014,48.01834556370914,179.1500000000001,746.0,80.0,2860,158.54545454545453,48.28593040847201,47.495566502463056,2998,7
dqn,grid,15,10015,52.35027877992785,179.5999999999999,938.0,88.0,2912,165.3224587912088,49.43174924165824,57.74042950513539,3049,7
dqn,grid,16,10016,46.01780821917808,161.04999999999973,635.0,85.0,2758,156.572878897752,43.166493236212276,51.50901803607214,2920,7
dqn,grid,17,10017,50.8404808317089,190.0,600.0,99.0,2950,163.3142372881356,46.05807086614173,60.13097514340344,3078,7
dqn,grid,18,10018,52.3368630046327,200.89999999999964,881.0,82.0,2880,163.29097222222222,52.527820316488004,51.98494825964252,3022,7
dqn,grid,19,10019,48.377049180327866,174.0,667.0,77.0,2911,159.25420817588457,44.37506284565108,55.879359095193216,3050,7
dqn,grid,0,10000,163.5323117921386,464.89999999999964,3479.0,251.0,2675,229.4844859813084,159.11215440792907,171.34193548387097,3002,42
dqn,grid,1,10001,146.47138503217067,490.8000000000002,3188.0,188.0,2686,233.69583023082652,135.7843237704918,167.3116883116883,2953,42
dqn,grid,2,10002,165.1682902250588,580.7999999999993,3458.0,223.0,2684,245.723174366617,158.5236160487557,178.14781746031747,2977,42
dqn,grid,3,10003,198.67256352524927,1068.7999999999997,3466.0,366.0,2676,219.0052316890882,181.7099609375,231.41470311027334,3109,42
dqn,grid,4,10004,176.3331134564644,681.0999999999967,3523.0,271.0,2678,226.2150858849888,170.91670749632533,187.48839556004037,3032,42
dqn,grid,5,10005,154.12090848363394,516.6999999999998,3478.0,221.0,2700,212.93740740740742,155.19012987012988,152.1955098222638,2994,42
dqn,grid,6,10006,154.92434431741762,597.3499999999999,3110.0,205.0,2727,237.34763476347635,155.82273410115172,153.0880245649949,2974,42
dqn,grid,7,10007,246.15766951942066,1438.15,3520.0,508.0,2459,214.2562017080114,212.306960440661,311.09510086455333,3038,42
dqn,grid,8,10008,212.75638051044083,1136.1999999999998,3509.0,433.0,2516,210.66216216216216,179.911,277.34906588003935,3017,42
dqn,grid,9,10009,191.7528201725282,939.4999999999991,3355.0,317.0,2632,247.79369300911853,177.20682730923696,220.10469667318984,3014,42
dqn,grid,10,10010,254.48230234866028,1588.7000000000003,3548.0,446.0,2507,250.1543677702433,220.6412714429869,318.9135446685879,3023,42
dqn,grid,11,10011,171.93344155844156,742.2499999999986,3480.0,242.0,2784,237.961566091954,171.13654223968567,173.4875478927203,3080,42
dqn,grid,12,10012,168.48278167836844,651.5,3462.0,225.0,2697,232.29217649239897,162.77726574500767,179.21772639691716,2991,42
dqn,grid,13,10013,161.4113283884019,623.5,3403.0,239.0,2657,222.5555137372977,161.2410440122825,161.7401185770751,2966,42
dqn,grid,14,10014,166.86357571714476,589.9000000000005,3507.0,233.0,2676,219.1378923766816,156.81694402420575,186.49162561576355,2998,42
dqn,grid,15,10015,164.1128238766809,659.3999999999992,3534.0,225.0,2757,237.94958287994197,165.0025278058645,162.46965452847806,3049,42
dqn,grid,16,10016,169.7876712328767,673.1499999999992,3147.0,229.0,2607,255.54200230149598,154.13423517169616,199.93386773547095,2920,42
dqn,grid,17,10017,192.88206627680313,808.0,3540.0,329.0,2676,225.22421524663676,177.9384842519685,221.91204588910134,3078,42
dqn,grid,18,10018,173.38451356717405,747.8999999999996,3538.0,252.0,2672,233.22193113772454,159.71924451250638,198.5682031984948,3022,42
dqn,grid,19,10019,163.62786885245902,534.8499999999981,3226.0,231.0,2747,254.76447033127047,155.42433383609855,179.00659754948163,3050,42
dqn,grid,0,10000,51.65556295802798,129.94999999999982,770.0,83.0,2856,164.9576330532213,48.31872717788211,57.551152073732716,3002,123
dqn,grid,1,10001,50.66644090755164,128.0,806.0,84.0,2814,162.62117981520967,49.61065573770492,52.72527472527472,2953,123
dqn,grid,2,10002,51.54047699025865,140.19999999999982,769.0,80.0,2853,163.43673326323167,48.868461147790754,56.75992063492063,2977,123
dqn,grid,3,10003,53.96912190414925,142.5999999999999,546.0,82.0,2988,166.45649263721552,51.26611328125,59.186616399623,3109,123
dqn,grid,4,10004,52.840369393139845,134.44999999999982,723.0,89.0,2891,163.85887236250431,52.05193532582068,54.46417759838547,3032,123
dqn,grid,5,10005,50.61556446225785,129.3499999999999,687.0,88.0,2863,161.96542088718127,48.70753246753247,54.05144995322731,2994,123
dqn,grid,6,10006,50.864828513786144,134.3499999999999,920.0,87.0,2820,162.83120567375886,49.09764646970456,54.47697031729785,2974,123
dqn,grid,7,10007,50.906846609611584,135.0,602.0,80.0,2887,163.7218565985452,49.0100150225338,54.545629202689724,3038,123
